,device_id,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,mean_x,mean_y,mean_z,variance_x,variance_y,variance_z,correlation_xy,correlation_yz,correlation_xz,covariance_xy,covariance_yz,covariance_xz,skew_x,skew_y,skew_z,kurtosis_x,kurtosis_y,kurtosis_z,epoch,weekday,group,datetime_EST
16,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.044251,0.248125,0.00956153,0.000427896,9.22776,3.03476e-06,0.00691244,-0.00444467,0.0183835,0.0290263,0.0160467,0.026041,0.221102,0.0468291,0.000601556,0.00477188,0.000804325,1.24978,4.13231,-3.71016,412.658,459.417,588.908,allday,,3_hour,2021-09-12 15:00:00
17,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.132608,0.524065,0.0106064,0.000443842,11.6206,-0.000562506,0.00658017,-0.00454518,0.0740787,0.148573,0.069513,0.170919,0.00496807,0.156033,0.0179314,0.000504893,0.0111971,2.22523,0.220938,0.839764,119.021,131.952,95.558,allday,,3_hour,2021-09-12 18:00:00
18,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0356583,0.231231,0.00913179,0.000989487,9.62624,-1.25924e-06,0.00689234,-0.00531274,0.0169956,0.0257759,0.0118922,0.0388179,-0.0263012,-0.188289,0.000812484,-0.000460491,-0.0026769,-1.58121,-5.67809,-3.04669,523.53,868.192,568.647,allday,,3_hour,2021-09-12 21:00:00
19,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.00912154,0.00988508,0.008437,0.00142548,0.797879,-0.000220645,0.00707332,-0.00401205,2.06054e-05,8.92882e-05,4.84672e-06,-0.597565,0.181657,0.0377086,-2.56319e-05,3.77904e-06,3.76844e-07,-6.89471,6.57112,8.0112,1854.65,1905.95,473.59,allday,,3_hour,2021-09-13 00:00:00
20,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0107197,0.0608521,0.00892885,0.00190428,7.34894,-0.00026275,0.00760304,-0.00455314,0.00105741,0.00197872,0.000703164,-0.602144,0.162837,-0.28628,-0.000871006,0.00019208,-0.000246859,-91.0754,44.5806,45.9024,13885.1,7548.26,11352.5,allday,,3_hour,2021-09-13 03:00:00
21,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0391951,0.265247,0.00916278,0.000988119,26.229,-0.000593661,0.00674542,-0.00462856,0.0137485,0.0428085,0.0152682,0.186813,0.14067,0.133469,0.0045322,0.00359639,0.00193379,-3.07737,-33.8206,-8.38214,543.517,5037.92,1084.05,allday,,3_hour,2021-09-13 06:00:00
22,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0613574,0.322993,0.00968073,0.000632758,11.7154,0.00023642,0.00635358,-0.0052622,0.0267517,0.0588789,0.0223903,0.118579,0.0976662,-0.0410069,0.0047062,0.00354619,-0.00100362,5.33235,0.245739,-4.25056,473.381,399.68,695.72,allday,,3_hour,2021-09-13 09:00:00
23,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.300382,0.809049,0.0095666,0.00114185,10.1259,-0.000838529,0.00992896,0.00251857,0.262472,0.234259,0.247953,-0.242983,-0.255626,0.222247,-0.0602522,-0.0616093,0.0566985,0.643702,0.138721,0.391898,21.1084,31.8301,29.2114,allday,,3_hour,2021-09-13 12:00:00
24,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0513504,0.281238,0.00934306,0.00160867,10.1703,-0.000336839,0.00773648,-0.00529276,0.0213505,0.0458842,0.0144092,0.00603489,-0.0187254,0.0676983,0.000188891,-0.000481495,0.00118743,3.08354,1.72217,-0.474784,273.646,529.167,322.362,allday,,3_hour,2021-09-13 15:00:00
25,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0715962,0.334625,0.00992278,0.000545128,8.98252,9.10774e-05,0.00752766,-0.00479526,0.0323238,0.0622587,0.0224379,-0.050829,0.109572,-0.136699,-0.00228024,0.00409541,-0.00368151,-2.30475,0.4476,-0.710782,289.662,290.679,223.414,allday,,3_hour,2021-09-13 18:00:00
